Name,GSM532843,GSM532844,GSM532845,GSM532846,GSM532847,GSM532848,GSM532849,GSM532850,GSM532851,GSM532852,GSM532860,GSM532861,GSM532862,GSM532863,GSM532864,GSM532865,GSM532866,GSM532867,GSM532868
hsa-miR-1294 ,7.4717578,67.25,0.48194135,22.40211493,-35.5644145,-36.4309675,-22.7006645,-35.76354,0.167161875,11.52374633,125.75,3.162375015,0.5,54.949593,-33.01076885,7.7487871,27.24710075,10.18066408,24.56221963
hsa-miR-526a/hsa-miR-520c-5p/hsa-miR-518d-5p ,7.488116035,-2.25,-14.58938218,-24.75144965,-0.9956475,-61.56284525,-43.74496875,-45.2915345,-12.58354765,83.60487425,-4.75,3.098809188,3.25,-17.4163225,-53.45774275,-52.162792,-10.60431108,3.11109725,-27.80579
hsa-miR-578 ,7.569583908,31,7.906448425,-11.53969523,-59.635215,-36.443489,-39.24438275,-36.03235825,16.504633,83.8328565,23.75,-7.103035425,44.25,22.54830245,-14.1111775,-11.04037293,-11.97571538,-1.3664345,-8.316343168
hsa-miR-1300 ,7.7324562,533,187.5680525,174.0546275,122.3252563,20.34120933,68.93017875,10.65729725,38.187931,288.626285,71,21.79270275,53.25,114.425018,161.5950465,5.86912155,90.8013295,343.443165,157.4853975
hsa-miR-590-5p ,7.761131275,122.5,104.6986385,87.6577825,153.58034,3.104574425,126.769789,-17.63116128,-15.511893,418.860365,42.5,0.817382788,14.75,495.3054625,223.22703,-38.90152825,129.230604,15.70899985,467.1028625
ebv-miR-BART14* ,7.976913988,258.5,175.95301,119.6552585,-14.562805,-29.46442295,-10.59806638,-9.78521925,9.56267625,395.5630075,20.25,6.971890468,443.25,61.74722375,31.01965138,-20.97367088,4.433796003,10.1510412,77.259347
hsa-miR-15b* ,8.202549343,32,57.36733975,29.5565335,209.57622,8.378541913,204.007195,-19.76825725,7.309225,274.44562,33.5,11.04311789,12.75,182.8445975,49.100418,-5.04517555,144.87931,44.49367775,106.0899513
hsa-miRPlus-F1009 ,8.30049115,78.5,92.1693025,99.48117075,105.8975125,50.81811475,106.950207,24.4933317,4.36450775,262.056615,23,12.8718471,89.25,80.478905,134.8863625,-33.0725175,90.654601,60.93703775,95.0219525
hsa-miR-1287 ,8.390937425,447,116.8464825,95.97215375,94.521728,48.02248025,61.06852675,27.81160925,16.7111265,252.492135,116,15.79146975,414.75,70.45458075,86.5427485,-26.42456225,94.3057055,184.09419,73.87094825
hsa-miR-101* ,8.481345813,35.25,5.821045125,-5.797306,123.05187,-47.573162,29.294367,-44.42249675,-25.3092793,852.48536,3.75,6.22336376,1,221.56613,37.80759025,-28.74578275,12.74880568,-10.519851,193.577091
hsa-miR-935 ,8.491490938,56.5,11.27848433,-13.57302463,-41.579199,-11.61243438,-18.06478325,-13.49505893,-7.69406885,1.96118255,55.5,23.09937733,51.25,8.6145133,-33.216051,-9.018190325,2.3710795,-15.624364,-6.8310297
hsa-miRPlus-F1205 ,8.612427625,67.75,62.68819,23.2364735,22.1161495,-5.18357295,-5.010561125,-10.44201875,53.291011,380.914775,101.5,4.5123592,111,81.781918,-20.76491163,49.0854725,73.47001625,68.40926475,30.16365425
hsa-miRPlus-E1165 ,8.685781325,138.25,63.93004775,54.491452,77.588195,29.58613545,49.4947655,38.177196,68.9028155,193.29795,36.75,17.58399575,278.75,61.9891395,50.69942038,-6.72667315,56.908039,115.3064763,45.0105095
hsa-miR-1224-3p ,8.872607325,10.5,23.66457325,18.99379745,148.1353075,79.891602,82.8199945,65.44080325,28.313139,203.5960775,19.25,14.01383353,14.25,94.135197,34.89488625,6.73231125,94.08507975,54.92785175,49.7767105
hsa-miR-592 ,9.02915872,-7.75,-16.8152235,-46.718716,-71.912839,-65.74833025,-42.8773185,-63.43510575,4.560748875,-19.0936225,30,0.48963884,2.5,-18.71731755,-53.935557,-39.67963625,-15.09727,-38.0098615,-25.62431433
hsa-miR-581 ,9.297981175,-1.5,8.24493425,-6.4555168,-55.484396,-38.392893,-37.6281485,-43.34712175,-1.41625025,-17.6519795,25.25,0.77521035,-16.75,20.55614113,-4.23509175,-4.31507105,-9.458245175,-31.78390125,-3.92810275
hsa-miR-135b ,9.468051175,12.5,-7.034908313,-33.70249975,24.56245425,-20.617689,30.61296625,-16.55713083,14.76256195,117.6976775,2.25,15.1191803,-7.75,-3.650377325,-23.054901,-4.34741025,49.8430035,10.61425788,-10.20121754
